Predicted_Probability,Predicted_Class,True_Label
0.9995855689048767,1.0,1.0
0.9956883192062378,1.0,1.0
0.11547011137008667,0.0,0.0
0.9999264478683472,1.0,1.0
0.0994347482919693,0.0,0.0
0.9841834902763367,1.0,1.0
0.9999841451644897,1.0,1.0
0.9999810457229614,1.0,1.0
0.9999775290489197,1.0,1.0
0.9039512276649475,1.0,1.0
0.9274721145629883,1.0,1.0
0.9996496438980103,1.0,1.0
0.23981688916683197,0.0,0.0
0.6700670719146729,1.0,0.0
0.9675300121307373,1.0,1.0
0.999886691570282,1.0,1.0
0.411583811044693,0.0,1.0
0.9830978512763977,1.0,1.0
0.9938878417015076,1.0,1.0
0.9897853136062622,1.0,1.0
0.9990748763084412,1.0,1.0
0.9849021434783936,1.0,1.0
0.01262686401605606,0.0,0.0
0.999774158000946,1.0,1.0
0.9917491674423218,1.0,1.0
0.9999757409095764,1.0,1.0
0.9952080249786377,1.0,1.0
0.2317393571138382,0.0,0.0
0.9999345541000366,1.0,1.0
0.9996036887168884,1.0,1.0
0.008168856613337994,0.0,0.0
0.9768282175064087,1.0,1.0
0.6713382601737976,1.0,1.0
0.06928221881389618,0.0,0.0
0.009396735578775406,0.0,0.0
0.9992732405662537,1.0,1.0
0.9998510479927063,1.0,1.0
0.999082624912262,1.0,1.0
0.9999873638153076,1.0,1.0
0.8669041991233826,1.0,1.0
0.9999704957008362,1.0,1.0
0.9789218306541443,1.0,1.0
0.2950398623943329,0.0,0.0
0.9801300764083862,1.0,1.0
0.01900186389684677,0.0,0.0
0.9950559139251709,1.0,1.0
0.007419447880238295,0.0,0.0
0.04754779487848282,0.0,0.0
0.9999454617500305,1.0,1.0
0.007005895022302866,0.0,0.0
0.0207548625767231,0.0,0.0
0.9990088939666748,1.0,1.0
0.04867871478199959,0.0,1.0
0.9972946047782898,1.0,1.0
0.02673625759780407,0.0,0.0
0.9994751214981079,1.0,1.0
0.7356042265892029,1.0,1.0
0.8621532320976257,1.0,1.0
0.9999648928642273,1.0,1.0
0.9910343885421753,1.0,1.0
0.9958733320236206,1.0,1.0
0.9998543858528137,1.0,1.0
0.9996731877326965,1.0,1.0
0.9994012713432312,1.0,1.0
0.999876856803894,1.0,1.0
0.9011342525482178,1.0,1.0
0.9999570250511169,1.0,1.0
0.9961892366409302,1.0,1.0
0.9882863759994507,1.0,1.0
0.9850195050239563,1.0,1.0
0.9994111657142639,1.0,1.0
0.9986913800239563,1.0,1.0
0.9990047216415405,1.0,1.0
0.2951103150844574,0.0,0.0
0.9996746182441711,1.0,1.0
0.9999875426292419,1.0,0.0
0.865192174911499,1.0,1.0
0.9994786381721497,1.0,0.0
0.008720716461539268,0.0,0.0
0.008986825123429298,0.0,0.0
0.9999754428863525,1.0,1.0
0.0346745066344738,0.0,0.0
0.999781608581543,1.0,1.0
0.11901725083589554,0.0,0.0
0.9999647736549377,1.0,1.0
0.01789085939526558,0.0,0.0
0.018863972276449203,0.0,0.0
0.5753549933433533,1.0,1.0
0.042502451688051224,0.0,0.0
0.01692461408674717,0.0,0.0
0.9818652868270874,1.0,1.0
0.009187193587422371,0.0,0.0
0.010499466210603714,0.0,0.0
0.28445830941200256,0.0,0.0
0.288674920797348,0.0,0.0
0.9754707217216492,1.0,1.0
0.011572802439332008,0.0,0.0
0.9995838403701782,1.0,1.0
0.9982940554618835,1.0,1.0
0.07783056795597076,0.0,0.0
0.9944370985031128,1.0,1.0
0.9904316663742065,1.0,1.0
0.9764652848243713,1.0,1.0
0.006894255522638559,0.0,0.0
0.9699903130531311,1.0,1.0
0.9995805621147156,1.0,1.0
0.9958500862121582,1.0,1.0
0.9857826828956604,1.0,1.0
0.9936302900314331,1.0,1.0
0.9998688101768494,1.0,1.0
0.9998915791511536,1.0,1.0
0.013324138708412647,0.0,0.0
0.976333498954773,1.0,1.0
0.8805868625640869,1.0,1.0
0.0329323448240757,0.0,0.0
0.8467885851860046,1.0,1.0
0.0027379405219107866,0.0,0.0
0.0020827825646847486,0.0,0.0
0.270471453666687,0.0,1.0
0.9866365790367126,1.0,1.0
0.9999589323997498,1.0,1.0
0.9850744605064392,1.0,1.0
0.9945386648178101,1.0,1.0
0.9999850392341614,1.0,1.0
0.0056531233713030815,0.0,0.0
0.11234886944293976,0.0,0.0
0.012538200244307518,0.0,0.0
0.7817690372467041,1.0,1.0
0.9876522421836853,1.0,1.0
0.9990591406822205,1.0,1.0
0.019703546538949013,0.0,0.0
0.99992436170578,1.0,1.0
0.9999788403511047,1.0,1.0
0.999857485294342,1.0,1.0
0.9999632835388184,1.0,1.0
0.5711294412612915,1.0,1.0
0.9359549880027771,1.0,1.0
0.9997649788856506,1.0,1.0
0.8837388753890991,1.0,1.0
0.9999260306358337,1.0,1.0
0.9999837279319763,1.0,1.0
0.6242822408676147,1.0,1.0
0.005970046389847994,0.0,0.0
0.016986416652798653,0.0,0.0
0.010303640738129616,0.0,0.0
0.005148864816874266,0.0,0.0
0.013271369971334934,0.0,0.0
0.010023459792137146,0.0,0.0
0.004218525718897581,0.0,0.0
0.014591584913432598,0.0,0.0
